episode,title,release_date
367,One Down!! Sure Kill Straw Hat Docking?,"August 24, 2008"
368,Soundless Invasion!! The Mysterious Visitor: Kuma the Tyrant,"August 31, 2008"
369,Oars Plus Moriah - The Greatest Combination of Brains and Brawn,"September 7, 2008"
370,A Secret Strategy to Turn the Tables - Nightmare Luffy Appears,"September 14, 2008"
371,The Straw Hat Crew Annihilated - Full-Throttle Kage Kage Abilities,"September 21, 2008"
372,The Battle for Superiority Starts! - Luffy vs. Luffy,"September 28, 2008"
373,The Conclusion Arrives! - Deliver the Finishing Blow,"October 5, 2008"
374,The Bodies Vanish! - The Morning Sun Pierces Through the Nightmare Island!,"October 12, 2008"
375,The Endless Crisis! Orders to Obliterate the Straw Hat Crew,"October 19, 2008"
376,Kuma's Nikyu Nikyu Power That Deflect Everything,"November 9, 2008"
377,"My Crewmate's Pain is My Pain, Zoro Fights Prepared to Die","November 16, 2008"
378,Promise on a Day Long Ago - The Pirate's Song and a Tiny Whale,"November 23, 2008"
379,Brook's Past - Sad Farewell to the Cheerful Friend,"November 30, 2008"
380,Bink's Sake - The Song that Connects the Past and Present,"December 7, 2008"
381,"A New Crewmate! - The Musician ""Humming Brook""","December 14, 2008"
382,Noro Noro Menace - Return of Foxy the Silver Fox,"December 21, 2008"
383,The Great Treasure Contest! Collapse! Spa Island,"December 28, 2008"
384,Brook's Hard Struggle - The Difficult Path to Becoming a True Crewmate?,"January 11, 2009"
385,Arriving at Halfway Through the Grand Line! The Red Line,"January 18, 2009"
386,Hatred of the Straw Hat Crew - Enter Iron Mask Duval,"January 25, 2009"
387,The Fated Reunion! Save the Imprisoned Fishman,"February 1, 2009"
388,Tragedy! The Truth of the Unmasked Duval,"February 8, 2009"
389,Explosion! The Sunny's Super Secret Weapon: Gaon Cannon,"February 15, 2009"
390,Landing to Get to Fishman Island - The Sabaody Archipelago,"February 22, 2009"
391,"Tyranny! The Rulers of Sabaody, the Celestial Dragons","March 1, 2009"
392,New Rivals Gather! The 11 Supernovas,"March 8, 2009"
393,The Target is Keimi!! The Kidnappers' Evil Draws Near,"March 15, 2009"
394,Rescue Keimi - The Dark History of the Archipelago,"March 29, 2009"
395,Time Limit - The Human Auction Begins,"April 5, 2009"
396,The Exploding Fist! Destroy the Auction,"April 12, 2009"
397,Huge Panic! Struggle in the Auction Hall,"April 19, 2009"
398,Admiral Kizaru Moves! The Sabaody Archipelago in Chaos,"April 26, 2009"
399,Break Through the Encirclement! Marines vs. Three Captains,"May 3, 2009"
400,Roger and Rayleigh - The Pirate King and His Right Hand,"May 10, 2009"
401,Impossible to Avoid!? Admiral Kizaru's Speed of Light Kick!!,"May 17, 2009"
402,Overwhelming! The Marine Combat Weapon Pacifista,"May 24, 2009"
403,Another Strong Enemy Appears! Broadaxe-Wielding Sentomaru,"May 31, 2009"
404,Admiral Kizaru's Fierce Attack - The Straw Hat Crew's Desperate Situation!,"June 7, 2009"
405,Disappearing Crew - The Final Day of the Straw Hat Crew,"June 14, 2009"
406,Special Historical Arc - Boss Luffy Appears Again,"June 21, 2009"
407,Special Historical Arc - Destroy! Thriller Company's Trap,"June 28, 2009"
408,Landing! No-Boys-Allowed Island Amazon Lily,"July 5, 2009"
409,Hurry! Back to the Crew - Adventure on the Isle of Women,"July 12, 2009"
410,Everyone's Drunk on Love! Pirate Empress Hancock,"July 19, 2009"
411,The Secret Hidden on Their Backs - Luffy Encounters the Snake Princess,"August 2, 2009"
412,The Heartless Judgment! Marguerite Turned to Stone!!,"August 9, 2009"
413,Luffy's Hard Trial! The Power of the Snake Sisters' Haki!!,"August 16, 2009"
414,Battle with Full-Powered Abilities!! Gomu Gomu vs. Hebi Hebi,"August 23, 2009"
415,Hancock's Confession - The Sisters' Disgusting Past,"August 30, 2009"
416,Rescue Ace! The New Destination is the Great Prison,"September 6, 2009"
417,Love is a Hurricane! Hancock in Love,"September 13, 2009"
418,The Crewmates' Whereabouts - Weather Science and Karakuri Island,"September 20, 2009"
419,The Crewmates' Whereabouts - The Island of Giant Birds and the Pink Paradise!,"September 27, 2009"
420,The Crewmates' Whereabouts - The Bridge that Connects Islands and Man-Eating Plants,"October 4, 2009"
421,The Crewmates' Whereabouts - The Negative Princess and the Devil King!,"October 11, 2009"
422,A Life-threatening Break-in! The Underwater Prison Impel Down!,"October 18, 2009"
423,Reunion in Hell!? The User of the Bara Bara No Mi!,"October 25, 2009"
424,Break through Crimson Hell! Buggys great Uproar Plan,"November 1, 2009"
425,The Prison's strongest Man! Introduction of the Poison-Man Magellan,"November 8, 2009"
426,Movie-connected Special: The 'Gold Lion's' Ambition Moves Forward,"November 15, 2009"
427,Movie-connected Special: 'Little East Blue' is Targeted,"November 22, 2009"
428,Movie-connected Special: The Amigo Pirate Crew's Vicious Assault,"November 29, 2009"
429,Movie-connected Special: The Decisive Battle! Luffy vs. Largo,"December 6, 2009"
430,"The Imprisoned Royal Shichibukai! Jinbe, Knight of the Sea","December 13, 2009"
431,The Trap of Chief Guard Saldeath - Level 3 Starvation Hell,"December 20, 2009"
432,The Liberated Swan! Reunion! Bon Kurei,"December 27, 2009"
433,Chief Warden Magellan Moves - The Net to Trap Straw Hat Is Complete!,"January 10, 2010"
434,Preparations for War! A Decisive Battle in Level 4 - Blazing Hell,"January 17, 2010"
435,Magellan's Strength! Bon Kurei Flees Before His Enemy,"January 24, 2010"
436,The Fight Finished! Luffy's Final Life Risking Attack,"January 31, 2010"
437,Because He's My Friend - Bon Kurei's Do-or-Die Rescue,"February 7, 2010"
438,Paradise in Hell - Impel Down Level 5.5,"February 14, 2010"
439,Luffy's Treatment Begins - Iva's Miraculous Power!!,"February 21, 2010"
440,Believe in Miracles! Bon Kurei Cheers From His Heart,"February 28, 2010"
441,Luffy Revives! Iva-san's Jailbreak Plan Begins!!,"March 7, 2010"
442,"Ace's Convoy Starts - The Offense and Defense of the Lowest Level, Level 6!","March 14, 2010"
443,The Strongest Team is Formed - Shake Impel Down to it's Core!,"March 21, 2010"
444,Even More Chaos! Blackbeard Teach Invades,"March 28, 2010"
445,A Dangerous Meeting! Blackbeard and Shiliew of the Rain,"April 4, 2010"
446,His Spirit Won't Break! Hannyabal Goes All Out,"April 11, 2010"
447,The Jet Pistol of Rage - Luffy vs. Blackbeard,"April 18, 2010"
448,Stop Magellan! Iva-san Unleashes His Secret Attack,"April 25, 2010"
449,Magellan's Clever Scheme! The Jailbreak Plan is Obstructed,"May 2, 2010"
450,The Jailbreak Team Driven Into a Corner - Forbidden Move 'Venom Demon',"May 9, 2010"
451,Cause the Last Miracle - Breaking Through the Gate of Justice,"May 16, 2010"
452,The Destination is Marine Headquarters - The Ship Sets Out to Rescue Ace!,"May 23, 2010"
453,The Crewmates' Whereabouts - Weatheria Report and Cyborg Animals,"May 30, 2010"
454,The Crewmates' Whereabouts - Giant Bird Chicks and a Pink Showdown,"June 6, 2010"
455,The Crewmates' Whereabouts - The Revolutionary Army and the Forest of Gluttony's Trap!,"June 13, 2010"
456,The Crewmates' Whereabouts - The Giant Gravestone and Panties of Gratitude,"June 20, 2010"
457,Special Retrospective Before Marineford - The Siblings' Vow!,"June 27, 2010"
458,Special Retrospective Before Marineford - Assemble! The Three Admirals,"July 11, 2010"
459,The Time of the Decisive Battle Draws Near! The Marine's Strongest Battle Formation is Ready!,"July 18, 2010"
460,An Enormous Fleet Appears - Invasion! The Whitebeard Pirates,"August 1, 2010"
461,The Beginning of the Battle! Ace and Whitebeard's Past,"August 8, 2010"
462,The Power to Destroy the World! The Gura Gura no Mi's Ability,"August 15, 2010"
463,Burn Everything to Ash! Admiral Akainu's Power,"August 22, 2010"
464,The Devil's Descendant! Little Oars Jr. Dashes Off!,"August 29, 2010"
465,Only the Winner is Justice - Put Into Motion! Sengoku's Plan!,"September 5, 2010"
466,The Straw Hat Team Arrives  The Battlefield Grows More Intense,"September 12, 2010"
467,"I'll Save You Even If I Die - Luffy vs. The Marines, The Battle Starts","September 19, 2010"
468,Consecutive Battles! Devil Fruit User Army vs. Devil Fruit User Army,"September 26, 2010"
469,Kuma Causes Disaster  Iva-sans Angry Attack,"October 3, 2010"
470,Master Swordsman Mihawk - The Black Sword's Slash Draws Near Luffy,"October 10, 2010"
471,The Extermination Operation Begins - The Might of the Pacifista Army,"October 17, 2010"
472,Akainu's Plot! Whitebeard Entrapped,"October 24, 2010"
473,The Encirclement Walls Activated! The Whitebeard Pirates Driven Into a Corner!!,"October 31, 2010"
474,The Order to Perform the Execution is Given - Break Through the Encircling Wall!,"November 7, 2010"
475,Rush Into the Final Phase! Whitebeard's Maneuver to Turn the Tides,"November 14, 2010"
476,Luffy's Strength is Exhausted! All-Out War in the Oris Plaza!!,"November 21, 2010"
477,Power that Reduces One's Life - Tension Hormones Return,"November 28, 2010"
478,For a Promise!!Luffy and Koby Clash!,"December 5, 2010"
479,In Front of the Execution Platform! The Path to Ace is Opened!!,"December 12, 2010"
480,The Path they Each Chose - Luffy vs. Garp!,"December 19, 2010"
481,Ace Freed! Whitebeard's Final Captain's Order!,"December 26, 2010"
482,The Power that Burns Even Fire - Akainu's Ruthless Pursuit,"January 9, 2011"
483,Searching for an Answer - Fire Fist Ace Dies on the Battlefield,"January 16, 2011"
484,Marine Headquarters Collapses! Whitebeard's Silent Rage!,"January 23, 2011"
485,Settling the Score - Whitebeard vs. The Blackbeard Pirates,"January 30, 2011"
486,The Start of the Show - Blackbeard's Plot Revealed,"February 6, 2011"
487,Akainu's Tenacity! The Fist of Magma Attacks Luffy,"February 13, 2011"
488,A Desperate Cry - Seconds of Valor that Change Destiny,"February 20, 2011"
489,Enter Shanks! The Ultimate War Ends at Last,"March 6, 2011"
490,"Powerful Independent Rivals! The Beginning of the ""New Era""!","March 20, 2011"
491,Arrival at the Island of Women - Cruel Reality Tortures Luffy,"March 27, 2011"
492,The Strongest Tag-Team! Luffy and Toriko's Hard Struggle!,"April 3, 2011"
493,Luffy and Ace - The Story of the Brothers' Meeting!,"April 10, 2011"
494,Enter Sabo! The Boy From Grey Terminal,"April 17, 2011"
495,I Won't Run - Ace's Desperate Rescue Operation,"April 24, 2011"
496,Someday to the Sea! The Three Brat's Sake Cups of Oath!,"May 1, 2011"
497,Leaving the Dadan Family!? The Secret Base is Complete!,"May 8, 2011"
498,Apprentice Luffy!? The Man who Fought the Pirate King!,"May 15, 2011"
499,The Battle Against the Big Tiger! Who Will Be the Captain?!,"May 22, 2011"
500,Stolen Freedom! The Nobles' Trap Draws Near the Three Brothers,"May 29, 2011"
501,The Flames Are Lit - The Gray Terminal's Crisis,"June 5, 2011"
502,Where Is Freedom? The Boy's Sad Departure,"June 12, 2011"
503,I'm Counting On You! A Letter From a Brother!,"June 19, 2011"
504,To Fulfill the Promise - Separate Departures!,"June 26, 2011"
505,I Want to See Them! Luffy's Tearful Scream,"July 3, 2011"
506,The Straw Hat Crew Shocked! The Bad News is Received,"July 10, 2011"
507,Reunion with Dark King Rayleigh - It's Time For Luffy's Decision,"July 17, 2011"
508,Back to the Captain - Jailbreak from Sky Island and the Incident on the Winter Island,"July 31, 2011"
509,Contact! The Great Swordsman Mihawk - Zoro's Struggle of Willpower,"August 7, 2011"
510,Sanji's Suffering - The Queen Returns to His Kingdom!,"August 14, 2011"
511,"An Unexpected Return! Luffy, to Marineford!","August 21, 2011"
512,Delivered to the Crew - The Big News Comes Through!,"August 28, 2011"
513,The Pirates Move Out! The Earth Shattering New World,"September 4, 2011"
514,Live Through Hell - Sanji's Fight with Men at Stake,"September 11, 2011"
515,I'll Get Stronger and Stronger! Zoro's Vow to his Captain,"September 18, 2011"
516,"Luffys Training Begins. See You 2 Years later, At The Promised Place","September 25, 2011"
517,"The New Chapter Begins. Regroup, Straw Hat Pirates!","October 2, 2011"
518,A Hair-Trigger! Luffy vs. Fake Luffy,"October 9, 2011"
519,"The Marines Move Out, Target the Straw Hat Crew!","October 16, 2011"
520,"Massive Gathering, Threat of the Fake Straw Hats!","October 23, 2011"
521,The Battle Begins! The Results of Training!,"October 30, 2011"
522,Everyone's Reunited! Luffy Sets Sail for the New World!,"November 6, 2011"
523,A Shocking Revelation - The Man Who Protected the Sunny!,"November 13, 2011"
524,"Undersea Struggle, The Demon of the Deep Appears!","November 20, 2011"
525,"Disaster in the Deep Sea, The Straw Hat Crew Gets Lost!","November 27, 2011"
526,Undersea Volcanic Eruption! Sailing To Fishman Island,"December 4, 2011"
527,"Landing at Fishman Island, The Lovely Mermaids!","December 11, 2011"
528,Eruption of Excitement! Sanji's Crisis of Life!,"December 18, 2011"
529,Fishman Island Collapses?! Shirley's Prediction!,"December 25, 2011"
530,"The King of Fishman Island, Sea God Neptune!","January 8, 2012"
531,Ryugu Palace! Led By The Shark That Was Saved!,"January 15, 2012"
532,The Coward Crybaby! Hard-Shell Towers Mermaid Princess,"January 22, 2012"
533,Emergency Situation! Ryuugu Palace Held Captive,"January 29, 2012"
534,Ryuugu Palace Shaking! Shirahoshi and the Kidnapping,"February 5, 2012"
535,Hody's Attack! The Beginning of his Vengeful Plan!,"February 12, 2012"
536,Decisive Battle at Ryugu Palace! Zoro vs. Hody,"February 19, 2012"
537,Protect Shirahoshi! Decken's Pursuit,"February 26, 2012"
538,The Crew is Defeated!? Hody Controls Ryuugu Palace,"March 4, 2012"
539,Revived Fate! Nami and the Fishman Pirates,"March 18, 2012"
540,Hero of the Slave Liberation - Adventurer Tiger,"March 25, 2012"
541,Kizaru Appears! A Trap Aimed at Tiger,"April 1, 2012"
542,Team Formation! Save Chopper,"April 8, 2012"
543,The Hero's Last Moments! The Impact of Tiger's Truth,"April 15, 2012"
544,The Pirates Split - Jinbe vs. Arlong,"April 22, 2012"
545,Fishman Island is Shaking! The Landing of a Celestial Dragon,"April 29, 2012"
546,Unexpected Disaster! An Assassin's Bullet Shuts the Future,"May 6, 2012"
547,Back to the Present! Hody Begins to Move,"May 13, 2012"
548,The Kingdom is Shaking! Instruction for Neptune's Execution,"May 20, 2012"
549,A Crack Arises! Luffy vs. Jinbe,"May 27, 2012"
550,Hody's Accident - The Evil Drug's True Power!,"June 3, 2012"
551,The Decisive Battle Begins at Gyoncorde Plaza!,"June 10, 2012"
552,Shocking Confession - The Truth about Otohime's Assassination,"June 17, 2012"
553,"Shirahoshi's Tears! Finally, Luffy's Appearance!","June 24, 2012"
554,"Big Clash! Straw Hat Pirates vs. 100,000 Opponents","July 1, 2012"
555,Explosive Move! Zoro and Sanji Sally Forth!,"July 8, 2012"
556,First Showing! Sunny's Secret Weapons!,"July 15, 2012"
557,Iron Pirate! Entry of Franky Shogun,"July 29, 2012"
558,Noah Approaching! The Crisis of Fishman Island's Destruction!,"August 5, 2012"
559,"Hurry Up, Luffy! Shirahoshi's Desperate Situation","August 12, 2012"
560,Beginning of the Battle! Luffy vs. Hody!,"August 19, 2012"
561,Battle Royal! The Group vs. the New Fishman Pirates!,"August 26, 2012"
562,Luffy is Defeated!? The Hour of Hody's Revenge,"September 2, 2012"
563,Shocking Truth! Hody's True Identity!,"September 9, 2012"
564,To Zero! Passionate Desire to Luffy!,"September 16, 2012"
565,Luffy's Whole Body Blow! Red Hawk Explosion,"September 23, 2012"
566,Final Conclusion! Hody's Final Battle,"September 30, 2012"
567,Stop Noah! Elephant Gatling of Desperation!,"October 7, 2012"
568,To the Future! The Path Towards the Sun!,"October 14, 2012"
569,Revealed Secret - The Truth of Ancient Weapons,"October 21, 2012"
570,The Crew Is Surprised! The New Marine Fleet Admiral!,"October 28, 2012"
571,I Love Sweets! The Yonko Big Mom,"November 4, 2012"
572,Grim Prospects! A Trap that Waits in the New World,"November 11, 2012"
573,Finally Setting Sail! Goodbye Fishman Island,"November 18, 2012"
574,To the New World! Aim for the Strongest Sea,"November 25, 2012"
575,Z's Ambition Arc - The Little Giant Lily!,"December 2, 2012"
576,Z's Ambition Arc - Introduction of the Mystery of the Strongest Army Corps!,"December 9, 2012"
577,Z's Ambition Arc - A Desperate Big Escape Strategy!,"December 16, 2012"
578,Z's Ambition Arc - Luffy vs. Shuzo!,"December 23, 2012"
579,"Landing! The Burning Island, Punk Hazard","January 6, 2013"
580,A Scorching Battle! Luffy vs. the Giant Dragon!,"January 13, 2013"
581,The Crew is Confused! The Shocking Beheaded Samurai Appears!,"January 20, 2013"
582,Surprise! The Secret of the Island is Finally Revealed .,"January 27, 2013"
583,Save the Children! Start of a Gang Fight!,"February 3, 2013"
584,A Duel of Swordplay! Brook and the Mysterious Samurai Torso,"February 10, 2013"
585,Shichibukai! Trafalgar Law,"February 17, 2013"
586,A Big Pinch! Luffy Sinks Into The Cold Lake,"March 3, 2013"
587,Clash! Law vs. Vice Admiral Smoker,"March 17, 2013"
588,Reunion after Two Years! Luffy and Law,"March 24, 2013"
589,Worst of the World - The Scary Scientist Caesar,"March 31, 2013"
590,History's Strongest Collaboration vs. Glutton of the Sea,"April 7, 2013"
591,Chopper Enraged - Master's Tyrannical Experiments,"April 14, 2013"
592,Gang Obliteration! Legendary Hitman Attack!,"April 21, 2013"
593,Save Nami! Luffy's Snow Mountain Battle,"April 28, 2013"
594,Formation! The Pirate Alliance Luffy-Law!,"May 5, 2013"
595,Capture Master - The Pirate Alliance's Operation Begins!,"May 12, 2013"
596,On the Verge of Annihilation - The Monster of Death Flies in,"May 19, 2013"
597,Big Battle - Caesar Activates his True Ability!,"May 26, 2013"
598,The Samurai Who Cuts Fire! Foxfire Kin'emon!,"June 2, 2013"
599,Shock! The Identity of the Mysterious Man Vergo!,"June 9, 2013"
600,Protect the Children! Master's Evil Hands Close in,"June 16, 2013"
601,New World's Severe Earthquake - Caesar's Nightmare Experiment,"June 23, 2013"
602,History's Worst Slaughter Weapon! Shinokuni,"June 30, 2013"
603,The Counterattack Begins! Luffy and Law's Great Escape,"July 7, 2013"
604,The Aim is Building R! The Pirate Alliance's Great Assault!,"July 14, 2013"
605,Tashigi's Tears - G-5's Suicidal Breakthrough Strategy,"July 21, 2013"
606,Vice Admiral's Betrayal! 'Demon Bamboo' Vergo,"July 28, 2013"
607,Incandescent Fierce Battle - Luffy vs. Caesar,"August 11, 2013"
608,The Mastermind in the Shadows! Doflamingo Moves!,"August 18, 2013"
609,"Luffy's Freezing to Death!? The Terrifying Snow Woman, Monet!","August 25, 2013"
610,Fist Fight! Two Vice Admirals Fight,"September 1, 2013"
611,The Small Dragon! Momonosuke Revealed,"September 8, 2013"
612,Deadly Combat in Snowstorm - The Straw Hats vs. the Snow Woman,"September 15, 2013"
613,Secret Technique Blasts! Zoro's Strongest One-Sword Style!,"September 22, 2013"
614,I'll Protect My Friends! Mocha's Desperate Escape,"September 29, 2013"
615,Brownbeard's Bitterness! Luffy's Angry Attack,"October 6, 2013"
616,Shocking Conclusion! Smoker vs. Vergo!,"October 13, 2013"
617,Caesar Defeated! The Strongest Grizzly Magnum,"October 20, 2013"
618,Invasion! The Assassin From Dressrosa,"October 27, 2013"
619,Rampage! The Invincible Franky Shogun,"November 3, 2013"
620,Desperate Situation! Punk Hazard's Big Explosion,"November 10, 2013"
621,Capture Caesar - General Cannon Blasts,"November 17, 2013"
622,Emotional Meeting! Momonosuke and Kin'emon,"November 24, 2013"
623,Regretful Departure - Leaving Punk Hazard!,"December 1, 2013"
624,G-5's Annihilation! Doflamingo Assaults!,"December 8, 2013"
625,Tension! Aokiji vs. Doflamingo,"December 15, 2013"
626,Caesar has Disappeared! The Pirate Alliance Sallies,"December 22, 2013"
627,Luffy Dies in the Sea!? The Collapse of the Pirate Alliance,"January 5, 2014"
628,Big Reversal! Luffy's Explosive Fist of Fury,"January 12, 2014"
629,Violent Shock! Earth-shaking Big News,"January 19, 2014"
630,"Adventure! The Country of Love and Passion, Dressrosa","January 26, 2014"
631,Swirling Madness - Corrida Colosseum,"February 2, 2014"
632,Dangerous Love - Dancing Girl Violet,"February 9, 2014"
633,The Most Powerful Unknown Warrior! Lucy Appears,"February 16, 2014"
634,The Pirate Prince Cavendish,"February 23, 2014"
635,The Fated Reunion - Bellamy the Hyena,"March 2, 2014"
636,Supernova! Bartolomeo the Cannibal,"March 16, 2014"
637,Rivalry of Warriors! B Block on Fire!,"March 23, 2014"
638,One-hit Knockout! The Astounding King Punch,"March 30, 2014"
639,Fighting Fish Attack! Break through the Iron Bridge of Death,"April 6, 2014"
640,"Adventure! The Island of Fairies, Green Bit","April 13, 2014"
641,The Unknown World - Tontatta Kingdom,"April 20, 2014"
642,Scheme of the Century - Doflamingo Gets Moving,"April 27, 2014"
643,Heaven and Earth Shakes! The True Power of Admiral Fujitora,"May 4, 2014"
644,An Angry Blow! The Giant vs. Lucy,"May 11, 2014"
645,The Destructive Cannon Explodes! A Close Call for Lucy,"May 18, 2014"
646,The Legendary Pirate - Don Chinjao!,"May 25, 2014"
647,Light and Shadow - The Darkness Lurking in Dressrosa!,"June 1, 2014"
648,"Sortie - The Legendary Hero, Usoland","June 8, 2014"
649,The Fierce Battle's Conclusion! Lucy VS Chinjao!,"June 15, 2014"
650,Luffy and the Fated Gladiator Rebecca,"June 22, 2014"
651,Protect her 'til the End! Rebecca and the Toy Soldier,"June 29, 2014"
652,Final Battleground - D Block Battle Begins,"July 6, 2014"
653,Decisive Battle! Jora vs. Straw Hat Crew,"July 13, 2014"
654,Blade of Beauty! Cavendish of the White Horse,"July 20, 2014"
655,The Great Clash! Sanji VS. Doflamingo,"August 3, 2014"
656,Rebeccas Sword of Death! Backwater Sword Dance,"August 10, 2014"
657,The Unluckiest Fighters! Logan vs. Rebecca,"August 17, 2014"
658,Shock! The Toy Soldiers True Identity!,"August 24, 2014"
659,A Chilling Past! The Secret Behind Dressrosa,"August 31, 2014"
660,Nightmare! That One Tragic Evening in Dressrosa,"September 7, 2014"
661,Shichibukai Confrontation - Law vs. Doflamingo,"September 14, 2014"
662,Two Great Forces Face-off! Straw Hat and the Heavenly Demon,"September 21, 2014"
663,"Luffy, Startled  The Man Who Will Inherit Aces Will","September 28, 2014"
664,Start Operation SOP  Usoland Charges,"October 5, 2014"
665,Hot Emotions - Rebecca vs. Suleiman,"October 12, 2014"
666,Winner Decided!? The End to the D-Block Bash,"October 19, 2014"
667,The Admiral's Decision  Fujitora vs. Doflamingo,"October 26, 2014"
668,The Final Round Begins  Diamante the Hero Takes the Stage,"November 2, 2014"
669,The Castle Moves! Elite Officer Pica Emerges,"November 9, 2014"
670,Dragon Claw Explosion! Lucy's Threatening Blow!,"November 16, 2014"
671,Defeat Sugar - The Dwarf Soldiers Charge In!,"November 23, 2014"
672,The Last Light  The Secret of Our Captain!,"November 30, 2014"
673,The Rupture Human  Gladius Big Explosion!,"December 7, 2014"
674,Liar Usoland on the Run!,"December 14, 2014"
675,A Fated Meeting  Kyros and King Riku,"December 21, 2014"
676,Operation Failed! Hero Usoland Dies!?,"December 28, 2014"
677,The Legend is Back! Kyros' All-out Blow,"January 11, 2015"
678,Fire Fist Explosion! The Power of the Revived Mera Mera no Mi,"January 18, 2015"
679,Gallant Appearance  Revolutionary Army Chief of Staff Sabo,"January 25, 2015"
680,The Devil's Trap  Dressrosa Annihilation Plan,"February 1, 2015"
681,The 500 Million Man  The Target is Usoland!,"February 8, 2015"
682,Breaking through Enemy Lines - Luffy and Zoro Launch the Counter-Attack,"February 15, 2015"
683,"With a Rumbling of the Ground - The God of Destruction, Giant Pica Descends","March 1, 2015"
684,Gathering into a Powerful Front! Luffy and a Group of Brutal Warriors!,"March 15, 2015"
685,Great Advance! Luffy Army vs. Pica!,"March 22, 2015"
686,A Shocking Confession! Law's Soul-burning Vow!,"March 29, 2015"
687,A Big Clash! Chief of Staff Sabo vs. Admiral Fujitora,"April 5, 2015"
688,A Desperate Situation - Luffy Gets Caught in a Trap!,"April 12, 2015"
689,Great Escape! Luffy's Miraculous Elephant Gun!,"April 19, 2015"
690,A United Front  Luffy's Breakthrough to Victory,"April 26, 2015"
691,The Second Samurai  Evening Shower Kanjuro Appears,"May 3, 2015"
692,The Struggle with Pica  Zoro's One Finishing Move,"May 10, 2015"
693,Princess of Little People  The Imprisoned Mansherry,"May 17, 2015"
694,Invulnerable! The Terrifying Headcracker Doll Army,"May 24, 2015"
695,Life-Risking! Luffy is the Trump Card to Victory,"May 31, 2015"
696,A Tearful Reunion  Rebecca and Kyros!,"June 7, 2015"
697,One Shot One Kill - The Man Who Will Save Dressrosa,"June 14, 2015"
698,Anger Explosion - Luffy and Law's Ultimate Secret Plan,"June 21, 2015"
699,Noble Family - Doflamingo's True Identity!,"June 28, 2015"
700,Ultimate Power - The Secret of the Ope Ope no Mi!,"July 5, 2015"
701,Sad Memories - Law the Boy from the White City!,"July 12, 2015"
702,Celestial Dragon! Doffy's Sublime Past,"July 19, 2015"
703,A Difficult Path  Law and Corazon's Life Journey,"August 2, 2015"
704,Time Draws Near! Seize the Ope Ope no Mi!,"August 9, 2015"
705,A Moment of Resolution - Corazon's Parting Smile!,"August 16, 2015"
706,"Go, Law - The Kind-hearted Man's Final Battle!","August 23, 2015"
707,To Freedom! Law Unleashes the Injection Shot,"August 30, 2015"
708,Heated Battle - Law vs. Doflamingo,"September 6, 2015"
709,A Decisive Battle Against the Executives - Proud Hajrudin,"September 13, 2015"
710,Battle of Love - Navy Leader Sai vs. Baby 5,"September 20, 2015"
711,A Man's Pride - Bellamy's Last Assault!,"September 27, 2015"
712,Storm and Stress - Hakuba vs. Dellinger,"October 4, 2015"
713,Bari-Bari - Homage God Fist Strikes!,"October 11, 2015"
714,The Healing Princess  Save Mansherry!,"October 18, 2015"
715,Showdown Between Men  Senor's Requiem of Love,"October 25, 2015"
716,Stardust of Death  Diamante's Storm of Fierce Attacks,"November 1, 2015"
717,Trueno Bastardo! Kyros' Blow of Anger!,"November 8, 2015"
718,Moving Across the Ground! The Giant Statue Pica's Surprise Maneuver!,"November 15, 2015"
719,Aerial Battle - Zoro's Deadly Secret Technique Explodes!,"November 22, 2015"
720,See ya Later! Bellamy's Farewell Blow!,"November 29, 2015"
721,Law Dies - Luffy's Fierce Assault of Anger!,"December 6, 2015"
722,A Blade of Tenacity! The Gamma Knife Counterattack!,"December 13, 2015"
723,Haki Clash - Luffy vs. Doflamingo,"December 20, 2015"
724,Impossible to Attack - Trebol's Shocking Secret,"December 27, 2015"
725,Anger Erupts! I Will Take Everything upon Myself!,"January 10, 2016"
726,Gear Fourth! The Miraculous Boundman!,"January 17, 2016"
727,Great Counterattack! Doflamingo's Awakening!,"January 24, 2016"
728,Luffy! The All-Out Leo Bazooka!,"January 31, 2016"
729,Kaen Ryuo - Protect Luffy's Life,"February 14, 2016"
730,"Tears of Miracles! Mansherry's Fight!""","February 21, 2016"
731,As Long as We Breathe! Stop the Deadly Birdcage!,"February 28, 2016"
732,Dead or Alive! A Fateful Countdown!,"March 6, 2016"
733,Attack on a Celestial! Luffy's King Kong Gun of Anger!,"March 20, 2016"
734,To Be Free! Dressrosa's Delight!,"March 27, 2016"
735,The Unheard-of! Admiral Fujitora's Surprising Decision!,"April 3, 2016"
736,Sending a Shock Wave! The Worst Generation Goes Into Action!,"April 10, 2016"
737,The Birth of the Legend! The Adventures of the Revolutionary Warrior Sabo!,"April 17, 2016"
738,The Brothers' Bond! The Untold Story Behind Luffy and Sabo's Reunion!,"April 24, 2016"
739,"The Strongest Creature! One of the Four Emperors - Kaido, King of the Beasts!","May 1, 2016"
740,Fujitora Takes Action! The Complete Siege of the Straw Hats!,"May 8, 2016"
741,A State of Emergency! Rebecca Is Kidnapped!,"May 15, 2016"
742,The Bond Between Father and Daughter! Kyros and Rebecca!,"May 22, 2016"
743,Manly Spirit! Luffy vs. Fujitora in a Head-to-Head Clash,"May 29, 2016"
744,No Way Out! Admiral Fujitora's Ruthless Pursuit!,"June 5, 2016"
745,Exchanging the Sons' Cups! Straw Hat Grand Fleet!,"June 12, 2016"
